variable_url,title,periodicity,description,keywords,license,dateCreated,dateModified,datePublished,creator_name,creator_contactType,creator_telephone,distribution_encodingFormat,distribution_contentUrl,periodicty
https://www.data.go.kr/data/15073627/fileData.do,경찰청 인천광역시경찰청_시간대별 강력범죄 발생건수 현황,,인천광역시경찰청 내 시간대별 강력범죄 발생건수에 대한 데이터로 시간대별 경찰서별 강력범죄 발생 건수 등 항목을 제공합니다. ,"시간,강력,발생",https://data.go.kr/ugs/selectPortalPolicyView.do,2020-11-19,2021-03-29,2020-11-19,경찰청 인천광역시경찰청,형사과,0324552172,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002336620&fileDetailSn=1&insertDataPrcus=N,수시 (1회성 데이터)
https://www.data.go.kr/data/15043334/fileData.do,국가보훈처 보훈행정용어집,,"‘보훈행정용어집’은 보훈행정과 관련된 용어를 알기 쉽게 설명하여 일반 국민과 보훈가족, 보훈공무원이 보다 쉽게 보훈행정용어를 이해할 수 있도록 만든 자료입니다.  <참고사항> 이 자료는 한눈에 보훈행정용어의 뜻을 파악하는 데 중점을 두었으므로 상세한 안내는 제도별로 해당기준 등을 별도로 확인해야 함을 알려드립니다.","보훈,행정용어,국가유공자",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-29,2021-03-29,2021-03-29,국가보훈처,정보화담당관,0442025278,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002376306&fileDetailSn=1&insertDataPrcus=N,수시 (1회성 데이터)
https://www.data.go.kr/data/15078176/fileData.do,근로복지공단_경기 북부 시군 규모별 질병별 산재현황,,"경기도 북부 시군 규모별 질병별 산재현황입니다. (가평군, 고양시, 구리시, 남양주시, 동두천시, 양주시, 연천군, 의정부시, 파주시, 포천시)","경기도,산재,질병",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-26,2021-03-26,2021-03-26,근로복지공단,가치혁신부,0527047639,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002376091&fileDetailSn=1&insertDataPrcus=N,수시 (1회성 데이터)
https://www.data.go.kr/data/15021207/fileData.do,대한체육회_제공정보(생활체육_강습회정보),,"생활체육 활성화를 위한 제공 정보(강습회 등 각종 생활체육 활동 및 행사 관련정보)의 데이터로  종목코드, 종목명, 참가구분, 선정방법코드, 선정방법, 접수시작일 접수종료일, 급수명, 참가비, 모집인원, 강습시작일, 강습종료일, 장소 등의 정보가 있음 ","체육행사,강습회,체육활동",https://data.go.kr/ugs/selectPortalPolicyView.do,2019-12-12,2021-03-26,2019-12-12,대한체육회,정보화팀,0221448147,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002349210&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/3079135/fileData.do,경기도 고양시_제설함설치현황,,"경기도_고양시_제설함설치현황에 대한 데이터로 경기도 고양시 제설함 설치장소명, 위치, 제설함수, 관리기관 등의 항목을 제공합니다.","염화칼슘,도로제설,제설제",https://data.go.kr/ugs/selectPortalPolicyView.do,2020-03-16,2021-03-25,2020-03-16,경기도 고양시,일산동구청 안전건설과,03180756315,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002375499&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15078097/fileData.do,서울특별시 노원구_서울특별시 노원구_흡연시설현황,,"노원구 관내에 설치된 흡연부스에 대한 데이터로 구분, 위치, 위경도, 면적, 설치일, 운영주체, 기준일자 등의 항목을 제공합니다.","노원구,흡연,부스",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-24,2021-03-24,2021-03-24,서울특별시 노원구,미디어홍보과,0221163432,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002375377&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/3078988/fileData.do,경기도 고양시_하천수질 현황,,"경기도 고양시 하천수질 현황에 대한 데이터로 경기도 고양시 하천의 위치, 주소, 생물화학적산소요구량, 부유물질량, 총질소량, 총인량 등의 항목을 제공합니다.(2020년 3월~11월)","환경,수질,하천수",https://data.go.kr/ugs/selectPortalPolicyView.do,2019-11-05,2022-04-15,2019-11-05,경기도 고양시,푸른도시사업소 생태하천과,03180752758,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002527177&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15039566/fileData.do,한국전력공사_사옥 에너지 사용관련 건물 정보,,"한국전력공사 전국 사업소 사옥 에너지 사용관련 건물정보입니다. 건물면적, 계약전력 사오구분, 지하 및 지상 층수를 확인가능합니다.","계약전력,사업소별,건물면적",https://data.go.kr/ugs/selectPortalPolicyView.do,2020-10-08,2021-03-24,2020-10-08,한국전력공사,디지털변환처,0613456846,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002375135&fileDetailSn=1&insertDataPrcus=N,수시 (1회성 데이터)
https://www.data.go.kr/data/3048283/fileData.do,한국교통안전공단_전국 삭도시설현황,,"- 전국의 궤도삭도검사관련 정보 업체정보, 검사정보 등을 제공 - 전국의 궤도삭도 업체의 위치와 설비기수 설비유형 등을 제공 ","궤도,삭도,특수검사",https://data.go.kr/ugs/selectPortalPolicyView.do,2020-01-30,2021-03-23,2020-01-30,한국교통안전공단,특수검사처,0544403067,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002375107&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15077893/fileData.do,대구광역시 중구_의약품 도매상 현황,,"대구광역시 중구 소재에 의약품 도매상 현황을 붙임 파일과 같이 1. 업종, 2. 업소명, 3. 소재지, 4. 연락처 등을 작성해 놓은 파일입니다. 이 파일 개인정보를 제외한 부분만 공개하고 있습니다.","대구,중구,의약품",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-23,2021-03-23,2021-03-23,대구광역시 중구,대구광역시 중구 보건소 보건과,0536613834,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002375041&fileDetailSn=1&insertDataPrcus=N,수시 (1회성 데이터)
